date,hour,sales,profit,region,state,category,type,caffeination
1/3/2010,17,200,67,Central,OH,Tea,Earl Grey,Regular
1/3/2010,18,130,16,Central,OH,Espresso,Decaf Espresso,Decaf
1/6/2010,19,341,99,Central,OH,Espresso,Caffe Mocha,Regular
1/30/2010,20,80,29,Central,OH,Herbal Tea,Chamomile,Decaf
1/26/2010,21,80,29,Central,OH,Herbal Tea,Lemon,Decaf
1/23/2010,22,210,68,Central,OH,Tea,Darjeeling,Regular
1/31/2010,23,120,13,Central,WI,Coffee,Amaretto,Regular
1/31/2010,0,190,9,Central,WI,Coffee,Columbian,Regular
1/31/2010,1,180,51,Central,WI,Coffee,Decaf Irish Cream,Decaf
1/5/2010,2,180,7,Central,WI,Tea,Earl Grey,Regular
1/30/2010,3,110,34,Central,WI,Espresso,Decaf Espresso,Decaf
1/17/2010,4,150,38,Central,WI,Espresso,Caffe Mocha,Regular
1/3/2010,5,180,70,Central,WI,Herbal Tea,Chamomile,Decaf
1/10/2010,6,81,28,Central,WI,Herbal Tea,Lemon,Decaf
1/28/2010,7,150,47,Central,WI,Tea,Darjeeling,Regular
1/26/2010,8,123,47,East,CT,Tea,Darjeeling,Regular
1/1/2010,9,94,35,East,CT,Tea,Green Tea,Regular
1/20/2010,10,130,30,East,CT,Espresso,Decaf Espresso,Decaf
1/25/2010,11,180,7,East,CT,Espresso,Caffe Mocha,Regular
1/8/2010,12,310,115,East,CT,Coffee,Columbian,Regular
1/2/2010,13,190,40,East,CT,Herbal Tea,Lemon,Decaf
1/9/2010,6,170,47,East,CT,Herbal Tea,Mint,Decaf
1/4/2010,7,80,28,East,FL,Tea,Darjeeling,Regular
1/15/2010,8,81,28,East,FL,Tea,Green Tea,Regular
1/13/2010,9,180,50,East,FL,Espresso,Decaf Espresso,Decaf
1/12/2010,10,190,9,East,FL,Espresso,Caffe Mocha,Regular
1/28/2010,11,200,67,East,FL,Coffee,Decaf Irish Cream,Decaf
1/14/2010,12,210,68,East,FL,Coffee,Columbian,Regular
1/9/2010,13,110,34,East,FL,Herbal Tea,Chamomile,Decaf
1/2/2010,14,120,13,East,FL,Herbal Tea,Lemon,Decaf
1/7/2010,15,150,39,East,FL,Herbal Tea,Mint,Decaf
1/8/2010,16,80,29,East,MA,Tea,Darjeeling,Regular
1/1/2010,17,80,29,East,MA,Tea,Green Tea,Regular
1/22/2010,18,341,100,East,MA,Espresso,Regular Espresso,Regular
1/1/2010,19,126,23,East,MA,Espresso,Caffe Mocha,Regular
1/19/2010,4,494,367,East,MA,Coffee,Columbian,Regular
1/13/2010,5,130,17,East,MA,Herbal Tea,Lemon,Decaf
1/8/2010,6,45,10,East,NH,Tea,Darjeeling,Regular
1/21/2010,7,43,11,East,NH,Tea,Green Tea,Regular
1/10/2010,8,65,8,East,NH,Espresso,Regular Espresso,Regular
1/4/2010,9,90,10,East,NH,Espresso,Caffe Mocha,Regular
1/17/2010,10,93,20,East,NH,Coffee,Amaretto,Regular
1/6/2010,11,120,25,East,NH,Coffee,Columbian,Regular
1/28/2010,12,76,4,East,NH,Herbal Tea,Lemon,Decaf
1/21/2010,13,234,101,East,NY,Tea,Darjeeling,Regular
1/27/2010,14,219,94,East,NY,Tea,Earl Grey,Regular
1/24/2010,15,134,54,East,NY,Tea,Green Tea,Regular
1/26/2010,16,490,175,East,NY,Espresso,Regular Espresso,Regular
1/20/2010,17,61,172,East,NY,Espresso,Caffe Mocha,Regular
1/23/2010,18,678,262,East,NY,Coffee,Columbian,Regular
1/22/2010,19,483,111,East,NY,Herbal Tea,Lemon,Decaf
1/10/2010,20,180,113,East,NY,Herbal Tea,Mint,Decaf
1/17/2010,21,180,70,South,LA,Espresso,Caffe Mocha,Regular
1/28/2010,22,150,48,South,LA,Espresso,Decaf Espresso,Decaf
1/2/2010,23,112,35,South,LA,Herbal Tea,Chamomile,Decaf
1/16/2010,0,190,40,South,LA,Herbal Tea,Lemon,Decaf
1/14/2010,1,180,8,South,LA,Espresso,Caffe Latte,Regular
1/29/2010,2,85,30,South,LA,Coffee,Columbian,Regular
1/20/2010,3,81,28,South,LA,Coffee,Decaf Irish Cream,Decaf
1/31/2010,4,90,10,South,NM,Espresso,Caffe Mocha,Regular
1/19/2010,5,82,9,South,NM,Espresso,Decaf Espresso,Decaf
1/27/2010,6,45,11,South,NM,Herbal Tea,Chamomile,Decaf
1/15/2010,7,62,4,South,NM,Herbal Tea,Lemon,Decaf
1/17/2010,8,65,8,South,NM,Espresso,Caffe Latte,Regular
1/6/2010,9,120,26,South,NM,Coffee,Columbian,Regular
1/20/2010,10,99,39,South,NM,Coffee,Decaf Irish Cream,Decaf
1/30/2010,11,80,28,South,OK,Espresso,Caffe Mocha,Regular
1/17/2010,12,210,67,South,OK,Espresso,Decaf Espresso,Decaf
1/15/2010,13,120,13,South,OK,Herbal Tea,Chamomile,Decaf
1/25/2010,14,190,10,South,OK,Herbal Tea,Lemon,Decaf
1/3/2010,15,200,66,South,OK,Espresso,Caffe Latte,Regular
1/28/2010,16,100,29,South,OK,Coffee,Columbian,Regular
1/1/2010,17,80,28,South,OK,Coffee,Decaf Irish Cream,Decaf
1/16/2010,18,219,95,South,TX,Espresso,Caffe Mocha,Regular
1/22/2010,19,134,54,South,TX,Espresso,Decaf Espresso,Decaf
1/18/2010,20,140,33,South,TX,Herbal Tea,Chamomile,Decaf
1/15/2010,21,140,42,South,TX,Herbal Tea,Lemon,Decaf
1/10/2010,22,180,53,South,TX,Espresso,Caffe Latte,Regular
1/19/2010,23,452,159,South,TX,Coffee,Columbian,Regular
1/29/2010,0,190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
1/22/2010,1,114,44,West,UT,Espresso,Caffe Latte,Regular
1/30/2010,2,112,34,West,UT,Espresso,Caffe Mocha,Regular
1/4/2010,3,123,47,West,UT,Espresso,Decaf Espresso,Decaf
1/16/2010,4,93,21,West,UT,Herbal Tea,Chamomile,Decaf
1/4/2010,5,120,25,West,UT,Herbal Tea,Lemon,Decaf
1/17/2010,6,99,40,West,UT,Herbal Tea,Mint,Decaf
1/22/2010,7,90,10,West,UT,Tea,Darjeeling,Regular
1/5/2010,8,82,9,West,UT,Tea,Earl Grey,Regular
1/25/2010,9,65,9,West,UT,Tea,Green Tea,Regular
1/13/2010,10,170,47,West,UT,Coffee,Amaretto,Regular
1/28/2010,11,130,30,West,UT,Coffee,Columbian,Regular
1/10/2010,12,190,39,West,UT,Coffee,Decaf Irish Cream,Decaf
1/2/2010,13,456,140,West,CA,Espresso,Caffe Latte,Regular
1/7/2010,14,250,17,West,CA,Espresso,Caffe Mocha,Regular
1/3/2010,15,546,203,West,CA,Espresso,Decaf Espresso,Decaf
1/30/2010,16,234,102,West,CA,Herbal Tea,Chamomile,Decaf
1/1/2010,17,452,160,West,CA,Herbal Tea,Lemon,Decaf
1/4/2010,18,190,67,West,CA,Herbal Tea,Mint,Decaf
1/1/2010,19,219,94,West,CA,Tea,Darjeeling,Regular
1/7/2010,20,134,54,West,CA,Tea,Earl Grey,Regular
1/1/2010,21,180,54,West,CA,Tea,Green Tea,Regular
1/20/2010,22,145,2,West,CA,Coffee,Amaretto,Regular
1/17/2010,23,678,262,West,CA,Coffee,Columbian,Regular
1/8/2010,0,118,117,West,CA,Coffee,Decaf Irish Cream,Decaf
1/7/2010,1,43,11,West,NV,Espresso,Caffe Latte,Regular
1/3/2010,2,45,10,West,NV,Espresso,Caffe Mocha,Regular
1/12/2010,3,43,11,West,NV,Espresso,Decaf Espresso,Decaf
1/1/2010,4,62,4,West,NV,Coffee,Decaf Irish Cream,Decaf
1/19/2010,5,250,16,West,NV,Herbal Tea,Chamomile,Decaf
1/15/2010,6,345,111,West,NV,Herbal Tea,Lemon,Decaf
1/10/2010,7,234,86,West,NV,Herbal Tea,Mint,Decaf
1/24/2010,8,546,203,West,NV,Tea,Darjeeling,Regular
1/27/2010,9,456,141,West,NV,Tea,Earl Grey,Regular
1/9/2010,10,17,354,West,NV,Tea,Green Tea,Regular
1/16/2010,11,76,3,West,NV,Coffee,Columbian,Regular
1/14/2010,12,130,16,West,OR,Espresso,Caffe Latte,Regular
1/11/2010,13,140,33,West,OR,Espresso,Caffe Mocha,Regular
1/27/2010,14,341,99,West,OR,Espresso,Decaf Espresso,Decaf
1/31/2010,15,140,42,West,OR,Coffee,Decaf Irish Cream,Decaf
1/20/2010,16,90,33,West,OR,Herbal Tea,Chamomile,Decaf
1/6/2010,17,100,29,West,OR,Herbal Tea,Lemon,Decaf
1/4/2010,18,80,28,West,OR,Tea,Darjeeling,Regular
1/18/2010,19,210,68,West,OR,Tea,Earl Grey,Regular
1/11/2010,20,200,67,West,OR,Tea,Green Tea,Regular
1/9/2010,21,150,1,West,OR,Coffee,Amaretto,Regular
1/18/2010,22,160,28,West,OR,Coffee,Columbian,Regular
1/6/2010,23,110,35,West,WA,Espresso,Caffe Latte,Regular
1/22/2010,0,120,13,West,WA,Espresso,Caffe Mocha,Regular
1/2/2010,1,150,39,West,WA,Espresso,Decaf Espresso,Decaf
1/2/2010,2,190,9,West,WA,Coffee,Decaf Irish Cream,Decaf
1/9/2010,3,310,115,West,WA,Herbal Tea,Chamomile,Decaf
1/3/2010,4,85,30,West,WA,Herbal Tea,Lemon,Decaf
1/28/2010,5,180,70,West,WA,Tea,Darjeeling,Regular
1/27/2010,6,150,48,West,WA,Tea,Earl Grey,Regular
1/13/2010,7,180,8,West,WA,Tea,Green Tea,Regular
1/6/2010,8,130,38,West,WA,Coffee,Columbian,Regular
2/13/2010,9,243,105,Central,CO,Coffee,Amaretto,Regular
2/13/2010,10,190,68,Central,CO,Coffee,Columbian,Regular
2/22/2010,11,232,99,Central,CO,Coffee,Decaf Irish Cream,Decaf
2/12/2010,12,100,30,Central,CO,Tea,Green Tea,Regular
2/28/2010,13,189,80,Central,CO,Espresso,Caffe Mocha,Regular
2/27/2010,14,189,59,Central,CO,Espresso,Decaf Espresso,Decaf
2/28/2010,15,340,99,Central,CO,Herbal Tea,Chamomile,Decaf
2/11/2010,16,129,3,Central,CO,Herbal Tea,Lemon,Decaf
2/9/2010,17,140,33,Central,CO,Herbal Tea,Mint,Decaf
2/26/2010,18,132,18,Central,CO,Tea,Darjeeling,Regular
2/7/2010,19,136,34,Central,CO,Tea,Earl Grey,Regular
2/4/2010,20,354,115,Central,IL,Coffee,Columbian,Regular
2/16/2010,21,254,95,Central,IL,Coffee,Decaf Irish Cream,Decaf
2/27/2010,22,545,201,Central,IL,Espresso,Caffe Mocha,Regular
2/12/2010,23,457,142,Central,IL,Espresso,Decaf Espresso,Decaf
2/7/2010,0,243,105,Central,IL,Herbal Tea,Chamomile,Decaf
2/3/2010,1,190,68,Central,IL,Herbal Tea,Lemon,Decaf
2/28/2010,2,232,99,Central,IL,Herbal Tea,Mint,Decaf
2/18/2010,3,189,79,Central,IL,Tea,Darjeeling,Regular
2/11/2010,4,189,59,Central,IL,Tea,Earl Grey,Regular
2/20/2010,5,45,10,Central,IA,Coffee,Amaretto,Regular
2/23/2010,6,63,6,Central,IA,Coffee,Columbian,Regular
2/10/2010,7,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
2/21/2010,8,47,11,Central,IA,Espresso,Caffe Mocha,Regular
2/6/2010,9,43,32,Central,IA,Espresso,Decaf Espresso,Decaf
2/28/2010,10,545,201,Central,IA,Herbal Tea,Chamomile,Decaf
2/21/2010,11,254,95,Central,IA,Herbal Tea,Lemon,Decaf
2/5/2010,12,457,141,Central,IA,Tea,Darjeeling,Regular
2/13/2010,13,534,169,Central,IA,Tea,Earl Grey,Regular
2/19/2010,14,193,42,Central,MO,Coffee,Columbian,Regular
2/27/2010,15,165,46,Central,MO,Coffee,Decaf Irish Cream,Decaf
2/16/2010,16,74,4,Central,MO,Tea,Green Tea,Regular
2/19/2010,17,123,48,Central,MO,Espresso,Caffe Mocha,Regular
2/20/2010,18,103,38,Central,MO,Espresso,Decaf Espresso,Decaf
2/27/2010,19,104,8,Central,MO,Herbal Tea,Chamomile,Decaf
2/5/2010,20,102,32,Central,MO,Herbal Tea,Lemon,Decaf
2/12/2010,21,82,9,Central,MO,Tea,Darjeeling,Regular
2/10/2010,22,68,7,Central,MO,Tea,Earl Grey,Regular
2/21/2010,23,140,33,Central,OH,Coffee,Amaretto,Regular
2/26/2010,0,128,38,Central,OH,Coffee,Columbian,Regular
2/15/2010,1,129,3,Central,OH,Coffee,Decaf Irish Cream,Decaf
2/24/2010,2,200,62,Central,OH,Tea,Darjeeling,Regular
2/10/2010,3,206,71,Central,OH,Tea,Earl Grey,Regular
2/16/2010,4,132,18,Central,OH,Espresso,Decaf Espresso,Decaf
2/12/2010,5,340,98,Central,OH,Espresso,Caffe Mocha,Regular
2/27/2010,6,56,17,Central,OH,Herbal Tea,Chamomile,Decaf
2/20/2010,7,80,28,Central,OH,Herbal Tea,Lemon,Decaf
2/25/2010,8,118,12,Central,WI,Coffee,Amaretto,Regular
2/4/2010,9,220,15,Central,WI,Coffee,Columbian,Regular
2/9/2010,10,180,50,Central,WI,Coffee,Decaf Irish Cream,Decaf
2/23/2010,11,137,41,Central,WI,Tea,Darjeeling,Regular
2/7/2010,12,155,3,Central,WI,Tea,Earl Grey,Regular
2/1/2010,13,110,35,Central,WI,Espresso,Decaf Espresso,Decaf
2/13/2010,14,154,42,Central,WI,Espresso,Caffe Mocha,Regular
2/28/2010,15,174,66,Central,WI,Herbal Tea,Chamomile,Decaf
2/8/2010,16,115,43,Central,WI,Herbal Tea,Lemon,Decaf
2/17/2010,17,123,48,East,CT,Tea,Darjeeling,Regular
2/11/2010,18,66,21,East,CT,Tea,Green Tea,Regular
2/1/2010,19,130,29,East,CT,Espresso,Decaf Espresso,Decaf
2/15/2010,20,155,3,East,CT,Espresso,Caffe Mocha,Regular
2/24/2010,21,325,121,East,CT,Coffee,Columbian,Regular
2/8/2010,22,193,41,East,CT,Herbal Tea,Lemon,Decaf
2/2/2010,23,165,46,East,CT,Herbal Tea,Mint,Decaf
2/8/2010,0,80,28,East,FL,Tea,Darjeeling,Regular
2/20/2010,1,115,44,East,FL,Tea,Green Tea,Regular
2/10/2010,2,180,51,East,FL,Espresso,Decaf Espresso,Decaf
2/20/2010,3,220,16,East,FL,Espresso,Caffe Mocha,Regular
2/1/2010,4,206,71,East,FL,Coffee,Decaf Irish Cream,Decaf
2/21/2010,5,200,63,East,FL,Coffee,Columbian,Regular
2/12/2010,6,110,34,East,FL,Herbal Tea,Chamomile,Decaf
2/1/2010,7,118,12,East,FL,Herbal Tea,Lemon,Decaf
2/12/2010,8,154,42,East,FL,Herbal Tea,Mint,Decaf
2/21/2010,9,80,28,East,MA,Tea,Darjeeling,Regular
2/27/2010,10,56,17,East,MA,Tea,Green Tea,Regular
2/29/2010,11,340,99,East,MA,Espresso,Regular Espresso,Regular
2/29/2010,12,128,4,East,MA,Espresso,Caffe Mocha,Regular
2/26/2010,13,470,340,East,MA,Coffee,Columbian,Regular
2/26/2010,14,132,18,East,MA,Herbal Tea,Lemon,Decaf
2/24/2010,15,45,11,East,NH,Tea,Darjeeling,Regular
2/17/2010,16,43,32,East,NH,Tea,Green Tea,Regular
2/13/2010,17,68,6,East,NH,Espresso,Regular Espresso,Regular
2/4/2010,18,104,7,East,NH,Espresso,Caffe Mocha,Regular
2/19/2010,19,101,25,East,NH,Coffee,Amaretto,Regular
2/26/2010,20,114,23,East,NH,Coffee,Columbian,Regular
2/8/2010,21,74,4,East,NH,Herbal Tea,Lemon,Decaf
2/25/2010,22,232,100,East,NY,Tea,Darjeeling,Regular
2/3/2010,23,243,105,East,NY,Tea,Earl Grey,Regular
2/11/2010,0,189,79,East,NY,Tea,Green Tea,Regular
2/8/2010,1,580,264,East,NY,Espresso,Regular Espresso,Regular
2/5/2010,2,61,203,East,NY,Espresso,Caffe Mocha,Regular
2/19/2010,3,645,245,East,NY,Coffee,Columbian,Regular
2/10/2010,4,495,131,East,NY,Herbal Tea,Lemon,Decaf
2/28/2010,5,180,120,East,NY,Herbal Tea,Mint,Decaf
2/15/2010,6,174,65,South,LA,Espresso,Caffe Mocha,Regular
2/22/2010,7,137,41,South,LA,Espresso,Decaf Espresso,Decaf
2/1/2010,8,112,35,South,LA,Herbal Tea,Chamomile,Decaf
2/18/2010,9,193,42,South,LA,Herbal Tea,Lemon,Decaf
2/17/2010,10,155,2,South,LA,Espresso,Caffe Latte,Regular
2/24/2010,11,94,34,South,LA,Coffee,Columbian,Regular
2/19/2010,12,115,44,South,LA,Coffee,Decaf Irish Cream,Decaf
2/26/2010,13,104,7,South,NM,Espresso,Caffe Mocha,Regular
2/27/2010,14,82,8,South,NM,Espresso,Decaf Espresso,Decaf
2/5/2010,15,45,10,South,NM,Herbal Tea,Chamomile,Decaf
2/6/2010,16,63,5,South,NM,Herbal Tea,Lemon,Decaf
2/23/2010,17,68,7,South,NM,Espresso,Caffe Latte,Regular
2/2/2010,18,114,24,South,NM,Coffee,Columbian,Regular
2/12/2010,19,102,31,South,NM,Coffee,Decaf Irish Cream,Decaf
2/9/2010,20,206,70,South,OK,Espresso,Caffe Latte,Regular
2/22/2010,21,56,17,South,OK,Espresso,Caffe Mocha,Regular
2/4/2010,22,200,63,South,OK,Espresso,Decaf Espresso,Decaf
2/23/2010,23,118,11,South,OK,Herbal Tea,Chamomile,Decaf
2/23/2010,0,220,15,South,OK,Herbal Tea,Lemon,Decaf
2/16/2010,1,100,29,South,OK,Coffee,Columbian,Regular
2/8/2010,2,80,29,South,OK,Coffee,Decaf Irish Cream,Decaf
2/3/2010,3,189,58,South,TX,Espresso,Caffe Latte,Regular
2/19/2010,4,243,106,South,TX,Espresso,Caffe Mocha,Regular
2/1/2010,5,189,80,South,TX,Espresso,Decaf Espresso,Decaf
2/2/2010,6,140,33,South,TX,Herbal Tea,Chamomile,Decaf
2/4/2010,7,128,38,South,TX,Herbal Tea,Lemon,Decaf
2/14/2010,8,465,164,South,TX,Coffee,Columbian,Regular
2/20/2010,9,190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
2/25/2010,10,103,38,West,UT,Espresso,Caffe Latte,Regular
2/15/2010,11,112,35,West,UT,Espresso,Caffe Mocha,Regular
2/2/2010,12,123,48,West,UT,Espresso,Decaf Espresso,Decaf
2/10/2010,13,101,24,West,UT,Herbal Tea,Chamomile,Decaf
2/19/2010,14,114,24,West,UT,Herbal Tea,Lemon,Decaf
2/23/2010,15,102,31,West,UT,Herbal Tea,Mint,Decaf
2/9/2010,16,104,7,West,UT,Tea,Darjeeling,Regular
2/15/2010,17,82,9,West,UT,Tea,Earl Grey,Regular
2/24/2010,18,68,6,West,UT,Tea,Green Tea,Regular
2/18/2010,19,165,46,West,UT,Coffee,Amaretto,Regular
2/16/2010,20,130,30,West,UT,Coffee,Columbian,Regular
2/10/2010,21,193,41,West,UT,Coffee,Decaf Irish Cream,Decaf
2/12/2010,22,457,142,West,CA,Espresso,Caffe Latte,Regular
2/24/2010,23,290,26,West,CA,Espresso,Caffe Mocha,Regular
2/10/2010,0,545,202,West,CA,Espresso,Decaf Espresso,Decaf
2/14/2010,1,232,100,West,CA,Herbal Tea,Chamomile,Decaf
2/11/2010,2,465,164,West,CA,Herbal Tea,Lemon,Decaf
2/20/2010,3,190,68,West,CA,Herbal Tea,Mint,Decaf
2/17/2010,4,243,106,West,CA,Tea,Darjeeling,Regular
2/19/2010,5,189,80,West,CA,Tea,Earl Grey,Regular
2/15/2010,6,189,58,West,CA,Tea,Green Tea,Regular
2/12/2010,7,132,27,West,CA,Coffee,Amaretto,Regular
2/14/2010,8,645,245,West,CA,Coffee,Columbian,Regular
2/2/2010,9,122,117,West,CA,Coffee,Decaf Irish Cream,Decaf
2/12/2010,10,43,31,West,NV,Espresso,Caffe Latte,Regular
2/29/2010,11,45,10,West,NV,Espresso,Caffe Mocha,Regular
2/23/2010,12,47,11,West,NV,Espresso,Decaf Espresso,Decaf
2/22/2010,13,63,6,West,NV,Coffee,Decaf Irish Cream,Decaf
2/23/2010,14,290,26,West,NV,Herbal Tea,Chamomile,Decaf
2/22/2010,15,354,115,West,NV,Herbal Tea,Lemon,Decaf
2/25/2010,16,254,94,West,NV,Herbal Tea,Mint,Decaf
2/23/2010,17,545,202,West,NV,Tea,Darjeeling,Regular
2/29/2010,18,457,142,West,NV,Tea,Earl Grey,Regular
2/4/2010,19,23,342,West,NV,Tea,Green Tea,Regular
2/12/2010,20,74,5,West,NV,Coffee,Columbian,Regular
2/15/2010,21,132,18,West,OR,Espresso,Caffe Latte,Regular
2/8/2010,22,140,33,West,OR,Espresso,Caffe Mocha,Regular
2/2/2010,23,340,99,West,OR,Espresso,Decaf Espresso,Decaf
2/29/2010,0,128,38,West,OR,Coffee,Decaf Irish Cream,Decaf
2/22/2010,1,81,28,West,OR,Herbal Tea,Chamomile,Decaf
2/5/2010,2,100,30,West,OR,Herbal Tea,Lemon,Decaf
2/5/2010,3,56,17,West,OR,Tea,Darjeeling,Regular
2/21/2010,4,200,62,West,OR,Tea,Earl Grey,Regular
2/12/2010,5,206,71,West,OR,Tea,Green Tea,Regular
2/3/2010,6,129,4,West,OR,Coffee,Amaretto,Regular
2/12/2010,7,155,25,West,OR,Coffee,Columbian,Regular
2/5/2010,8,110,35,West,WA,Espresso,Caffe Latte,Regular
2/24/2010,9,118,12,West,WA,Espresso,Caffe Mocha,Regular
2/27/2010,10,154,41,West,WA,Espresso,Decaf Espresso,Decaf
2/1/2010,11,220,15,West,WA,Coffee,Decaf Irish Cream,Decaf
2/19/2010,12,325,121,West,WA,Herbal Tea,Chamomile,Decaf
2/20/2010,13,94,34,West,WA,Herbal Tea,Lemon,Decaf
2/8/2010,14,174,66,West,WA,Tea,Darjeeling,Regular
2/25/2010,15,137,41,West,WA,Tea,Earl Grey,Regular
2/9/2010,16,155,3,West,WA,Tea,Green Tea,Regular
2/1/2010,17,142,44,West,WA,Coffee,Columbian,Regular
3/3/2010,18,213,90,Central,CO,Coffee,Amaretto,Regular
3/25/2010,19,193,69,Central,CO,Coffee,Columbian,Regular
3/23/2010,20,234,101,Central,CO,Coffee,Decaf Irish Cream,Decaf
3/25/2010,21,98,29,Central,CO,Tea,Green Tea,Regular
3/20/2010,22,198,84,Central,CO,Espresso,Caffe Mocha,Regular
3/26/2010,23,180,54,Central,CO,Espresso,Decaf Espresso,Decaf
3/2/2010,0,325,94,Central,CO,Herbal Tea,Chamomile,Decaf
3/13/2010,1,125,4,Central,CO,Herbal Tea,Lemon,Decaf
3/8/2010,2,134,31,Central,CO,Herbal Tea,Mint,Decaf
3/15/2010,3,129,16,Central,CO,Tea,Darjeeling,Regular
3/28/2010,4,135,32,Central,CO,Tea,Earl Grey,Regular
3/9/2010,5,367,119,Central,IL,Coffee,Columbian,Regular
3/19/2010,6,267,102,Central,IL,Coffee,Decaf Irish Cream,Decaf
3/1/2010,7,567,211,Central,IL,Espresso,Caffe Mocha,Regular
3/5/2010,8,478,148,Central,IL,Espresso,Decaf Espresso,Decaf
3/26/2010,9,213,91,Central,IL,Herbal Tea,Chamomile,Decaf
3/7/2010,10,193,70,Central,IL,Herbal Tea,Lemon,Decaf
3/26/2010,11,234,102,Central,IL,Herbal Tea,Mint,Decaf
3/11/2010,12,198,84,Central,IL,Tea,Darjeeling,Regular
3/21/2010,13,180,53,Central,IL,Tea,Earl Grey,Regular
3/2/2010,14,45,10,Central,IA,Coffee,Amaretto,Regular
3/23/2010,15,63,6,Central,IA,Coffee,Columbian,Regular
3/16/2010,16,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
3/30/2010,17,41,9,Central,IA,Espresso,Caffe Mocha,Regular
3/9/2010,18,43,32,Central,IA,Espresso,Decaf Espresso,Decaf
3/12/2010,19,567,212,Central,IA,Herbal Tea,Chamomile,Decaf
3/4/2010,20,267,102,Central,IA,Herbal Tea,Lemon,Decaf
3/30/2010,21,478,148,Central,IA,Tea,Darjeeling,Regular
3/14/2010,22,546,175,Central,IA,Tea,Earl Grey,Regular
3/3/2010,23,189,39,Central,MO,Coffee,Columbian,Regular
3/23/2010,0,163,45,Central,MO,Coffee,Decaf Irish Cream,Decaf
3/16/2010,1,75,4,Central,MO,Tea,Green Tea,Regular
3/11/2010,2,121,47,Central,MO,Espresso,Caffe Mocha,Regular
3/24/2010,3,118,45,Central,MO,Espresso,Decaf Espresso,Decaf
3/26/2010,4,107,6,Central,MO,Herbal Tea,Chamomile,Decaf
3/8/2010,5,106,32,Central,MO,Herbal Tea,Lemon,Decaf
3/17/2010,6,85,11,Central,MO,Tea,Darjeeling,Regular
3/14/2010,7,75,3,Central,MO,Tea,Earl Grey,Regular
3/5/2010,8,134,32,Central,OH,Coffee,Amaretto,Regular
3/19/2010,9,121,35,Central,OH,Coffee,Columbian,Regular
